reference,nom_csv,nom_site
HX_KEL11501322201,Sonde droite de Foley 100 % silicone Securmed CH 20,Sonde droite de Foley 100 % silicone...
HX_SYL871,Pansement adhésif stérile avec compresse centrale 10 cm x 8 cm,Pansement adhésif stérile avec compresse...
HX_MED8884719018,Spiromètre volumétrique d’entraînement Voldyne,Spiromètre volumétrique d’entraînement...
HX_MED41750,Spiromètre incitatif - Exerciseur volumétrique pulmonaire,Spiromètre incitatif - Exerciseur...
HX_SANBT150,Tire-Lait Saturn Connecté,Sac à dos médical City Elite Bags
HX_SANBTF32,Téterelle 32mm,Set recueil avec colier et capuchon de...
HX_BED101NT0116020021,Draps housse 160X200 Gris Dermofresh,Draps housse 160X200 Blanc Dermofresh
HX_BEDH12NT470902002001,Housse intégrale 90X200X20 Blanc,Housse intégrale de matelas Dermofresh...
HX_BED151NT0112020001,Drap housse ICE 120x200 Blanc natural,Drap housse ICE 120x200 Gris
HX_BED151NT0109020001,Drap housse ICE 90x200 Blanc natural,Drap housse ICE 90x200 Gris
HX_BED101NT2406004029,Taie d'oreiller reva 60X40 Vert d'eau,Taie d'oreiller reva 60X40 Gris
HX_BED101NT2406004034,Taie d'oreiller reva 60X40 Rose,Taie d'oreiller reva 60X40 Gris
HX_BEDH12NT471402002001,Housse intégrale 140X200X20 Blanc,Housse intégrale 140X200X15 Blanc
HX_SANBTF27,Téterelle 27mm,Sac à dos médical City Elite Bags
HX_BED1VSDPCF07003521,Oreiller à mémoire de forme - 70x40 - BDermofresh ICE,Oreiller à mémoire de forme - 70x40 -...
HX_BED151NT0114020001,Drap housse ICE 140x200 Blanc natural,Drap housse ICE 140x200 Gris
HX_BIO113116102,Bladderscan Caresono PADSCAN HD2,Attelle ligamentaire Donjoy ACL Everyday...
HX_KEL01951061,"Sonde d'aspiration trachéo-bronchique Bicakcilar biseautée 2 oeils CH 16 5,33 mm orange",Sonde d'aspiration trachéo-bronchique...
HX_LIVPICOMICRO,Fauteuil releveur économique 1 moteur Pico,Fauteuil releveur économique Pico Micro -...
HX_CV1090300,Immobilisateur avec Protection des Mains,Etui pénien Conveen Optima Standard
HX_HAR900870,Pansement adh Cosmopor 7.2x5-BT50,"Pansement Cosmopor® E 7,2 x 5 cm. La boîte..."
HX_IDE80131430S,ID Super protect 40*60 ST30,ID Super protect 40 x 60 cm
HX_IDD81311430,ID Protect extra plus 60*90-ST 30,ID Discreet Underpads Extra Plus - 60 x 90 cm
HX_SANBTSET2,Set recueil avec colier et capuchon de bouteille,Set recueil avec colier et capuchon de...
HX_LIVINITIOMCBEIGE,Fauteuil releveur confort Initio maille chenille Beige,Fauteuil releveur confort Initio - Maille...
HX_LIVINITIOMCGRIS,Fauteuil releveur confort Initio maille chenille Gris,Fauteuil releveur confort Initio - Maille...
HX_LIVPDTELECOMMANDE4M,Télécommande SK-50K pour fauteuil 4M,Télécommande universelle Verticalis
HX_MEDA1060,Doigtiers 2 doigts - Non stériles - TU,Doigtier roulé sans poudre Latex - S
HX_MEDM1310130,Compresse non tissé NST - 4 plis - 30 gr 5 cm x 5 cm-BT100,Compresse non tissé non stérile - 4 plis -...
HX_MEDM50004,Set de soin n°4 Vrac,Set de soins stérile N°4
HX_MEDM50018,Set de suture N°18,Set de soin n°6
HX_MED69OR1L,"Blouse visiteur avec boutons pression, 2 poches   Taille L",Blouse de protection visiteur Taille : L.
HX_MED69OR1XL,"Blouse visiteur avec boutons pression, 2 poches  Taille XL",Blouse de protection visiteur Taille : XL.
HX_MEDM500145,Set de soin n°9,Set de soins - Stérile - N°9
HX_MEDM13003S2,Compresse gaze ST 17 fils - 8 plis 10cmx10cm,Compresse gaze stérile 17 fils - 8 plis -...
HX_MEDM13101S5,Compresse non tissé ST - 4 plis - sachet de 5  5 cm x 5 cm,Compresse non tissée stérile - 4 plis - 5...
HX_MEDM13103S5,Compresse non tissé ST - 4 plis - sachet de 5  10 cm x 10 cm,Compresse non tissée stérile - 4 plis - 10...
HX_MEDM13102S5,"Compresse non tissé ST - 4 plis - sachet de 5   7,5 cm x 7,5 cm",Compresse non tissée stérile - 4 plis -...
HX_MEDM50003,"Set de soin N°3 5 compresses en Non tissé 7,5 x",Set de soins N°2
HX_SCA712400,TENA Slip Maxi Medium le sachet de 24,TENA Slip Proskin Maxi - Taille Medium
HX_DIDPMFML50F,"Prolongateur PVC 2,5 x 4,1 mm 1V LL MOB 50 CM BPAF",Fauteuil roulant électrique pliant Alber...
HX_MEDHCS892,Nebuliseur Micro Mist sans Masque-UN,Nébuliseur Micro Mist avec embout buccal
HX_MEDM14B07P,C-Boule De Coton 0.6 Gr-ST700,Boule de coton x700
HX_PHA072900,C-Tapis amortissement Sécurform - UN,Tapis d'amortissement Sécurform
HX_PRANA03153IN,Gobelet gradué 30 ml transparent ST90,Gobelet gradué 30 ml transparent
HX_TERSRDM1845WD,C-Catheter court à ailettes SURFLO W 18 G - BTE 50,Cathéter court à ailettes SURFLO W 18 G
HX_VYG0VENP2GT,C-Poche Nutrition 1200Ml+Comp Glace (N)-ST50,Gel hygiène intime 250 ml
HX_KEL01951041,Sonde d'aspiration trachéo-bronchique Bicakcilar biseautée 2 oeils CH 12 4 mm blanc,Sonde d'aspiration trachéo-bronchique...
HX_HEID88611021,Trousse mini 3000 LED - Ophtalmoscope + Otoscope,Trousse mini 3000 LED - Ophtalmoscope +...
HX_DIDGLNP67S,Gants d'examen Latex Polysem non poudrés S (6-7),Gants d'examen Latex Polysem non poudrés S...
HX_BSN7237801,Film adhésif Hypafix transparent - 10 m x 10 cm,Film adhésif Hypafix transparent - 10 m x...
HX_RAF020626,Filet tubulaire élastique - Main - T. 3,Filet tubulaire élastique - Sans latex -...
HX_RAF020625,Filet tubulaire élastique - Poignet / Pied enfant - T. 2,Filet tubulaire élastique - Poignet / Pied...
HX_RAF020624,Filet tubulaire élastique - Main enfant - T. 1,Filet tubulaire élastique - Main enfant -...
HX_RAF020633,Filet tubulaire élastique - Abdomen / Thorax - XXL - T. 10,Filet tubulaire élastique - Abdomen /...
HX_RAF020632,Filet tubulaire élastique - Abdomen / Thorax - XL - T. 9,Filet tubulaire élastique - Abdomen /...
HX_RAF020631,Filet tubulaire élastique - Abdomen / Thorax - L - T. 8,Filet tubulaire élastique - Abdomen /...
HX_RAF020630,Filet tubulaire élastique Abdomen - Thorax - M - T. 7,Filet tubulaire élastique Abdomen - Thorax...
HX_RAF020629,Filet tubulaire élastique - Tête / Abdomen - Thorax - S - T. 6,Filet tubulaire élastique - Tête / Abdomen...
HX_RAF020628,Filet tubulaire élastique - Jambe / Tête enfant - T. 5,Filet tubulaire élastique - Jambe / Tête...
HX_RAF020627,Filet tubulaire élastique - Main / Avant-bras / Bras - T. 4,Filet tubulaire élastique - Main /...
HX_MED1828CE,Lunettes à oxygène Softech - Longueur 210cm - Nourrisson,Lunettes à oxygène Softech - Longueur...
HX_TERSAN2225R1,Aiguille hypodermique de sécurité SAFETY AGANI  22Gx1''-0.70x25mm-Noir -BTE 100,Aiguilles hypodermiques de sécurité Agani...
HX_HEIK00034206,Petit embout de contact DELTA 30-UN,Petites plaques de contact DELTA 30
HX_TESTTEST,TEST/TEST,TENA ProSkin Cellduk - Dimensions : 25 x...
HX_MEDDYND70802EU,Chargeur pour tondeuse chirurgicale - Prise EU,Chargeur pour tondeuse chirurgicale -...
HX_MEDDYND70800EU,"Tondeuse chirurgicale et chargeur avec cordon, prise EU",Tondeuse chirurgicale et chargeur avec...
HX_HEXLRESPTRANSFO,Transformateur + cable fauteuil releveur Emile/Marcel,Fauteuil roulant actif fixe Nitrum Quickie
HX_HEXLRESPFTRM,Vérin repose-pieds fauteuil releveur Emile/Marcel,Attelle de poignet-main DonJoy RESPIFORM -...
HX_HEXLRESPBKRM,Vérin pour dossier fauteuil releveur Emile/Marcel,Casque TV sans fil TV3500
HX_HEXLRESP1M,Vérin pour moteur fauteuil Emile,Assistance électrique à la propulsion...
HX_HEXSTANDPARALPM,Prêt Stand Parapluie LPM,Rouleaux de draps d'examen Confort gaufrés...
HX_SED650241,Registre des déclarations de décès,Gaine de stérilisation - 150 mm x 200 m
HX_SED650113,CARNET DE RELEVES NOMINATIFS ADMINISTRATION ET GESTION DES STOCKS DE STUPEFIANTS,Tubulure à oxygène Hudson Star-Lumen
HX_HEXSTANDPARATDS,Prêt Stand Parapluie courbe TDS,Cuillère à soupe caoutchouc Goodgrip...
HX_BDMZ5301,MaxZero prémonté sur prolongateur simple - 18cm - Clamp coulissant,Sparadrap 3M™ Micropore™ sans dévidoir...
HX_BDMZ9283,Prolongateur multivoies avec valve bidirectionnelle,Seringue Discardit II BD 2 ml
HX_ID531026521002,ID Form extra Long - ST 21,ID Form Extra long - 31 x 64 cm
HX_BED101NT0108020021,Draps housse 80x200 Gris Dermofresh,Draps housse 80x200 Blanc Dermofresh
HX_SWAM4IGMDR,Manche de bistouri en acier inoxydable n°4 MDR,Manche de bistouri en acier inoxydable n°4...
HX_SWAM3IGMDR,Manche de bistouri en acier inoxydable n°3 MDR,Manche de bistouri en acier inoxydable n°3...
HX_BED101NT0114020021,Draps housse 140X200 Gris Dermofresh,Draps housse 140X200 Blanc Dermofresh
HX_BED101NT0112020021,Draps housse 120x200 Gris Dermofresh,Draps housse 120x200 Blanc Dermofresh
HX_KEL01951071,Sonde d'aspiration trachéo-bronchique Bicakcilar biseautée 2 oeils  CH 18 6 mm rouge,Sonde d'aspiration trachéo-bronchique...
HX_SYNOSIRIS,Douche au lit OSIRIS,Aiguilles hypodermiques - Noires - 22 G -...
HX_RAF798190,Pansement absorbant non tissé 10x10cm stérile par 1 SE,Pansement absorbant non tissé 10x10cm...
HX_BSN7296202,"Bande adhésive élastique Tenso Club 2,5 m x 8 cm","Bande adhésive élastique Tenso Club 2,5 m..."
HX_BSN7296201,"Bande adhésive élastique Tenso Club 2,5 m x 6 cm","Bande adhésive élastique Tenso Club 2,5 m..."
HX_BSN7296200,"Bande adhésive élastique Tenso Club 2,5 m x 3 cm","Bande adhésive élastique Tenso Club 2,5 m..."
HX_BSN7205075,"Bande adhésive élastique Tensoplast HBC (Chair) 2,5 m x 10 cm",Bande adhésive élastique Tensoplast HBC...
HX_BSN7205074,"Bande adhésive élastique Tensoplast HBC (Chair) 2,5 m x 8 cm",Bande adhésive élastique Tensoplast HBC...
HX_BSN7297822,"Bande adhésive élastique Leukotape K Bleu 5 m x 7,5 cm",Bande adhésive élastique Leukotape K Bleu...
HX_BSN7297816,Bande adhésive élastique Leukotape K Rouge 5 m x 5 cm,Bande adhésive élastique Leukotape K Rouge...
HX_BSN7297810,"Bande adhésive élastique Leukotape K Chair 5 m x 2,5 cm",Bande adhésive élastique Leukotape K Chair...
HX_BSN0238100,"Leukotape classic Bande adhésive non-élastique Noir 10 m x 3,75 cm",Leukotape classic Bande adhésive...
HX_BSN0931700,"Bande adhésive non-élastique Leukotape classic Rouge 10 m x 3,75 cm",Bande adhésive non-élastique Leukotape...
HX_BSN4710900,"Bande adhésive non-élastique Leukotape classic Blanc 10 m x 3,75 cm",Bande adhésive non-élastique Leukotape...
HX_BSN7149000,Strappal Bande adhésive non élastique  10 m x 4 cm,Strappal Bande adhésive non élastique  10...
HX_BSN7149618,"Bande adhésive Strappal non élastique 10 m x 2,5 cm",Bande adhésive Strappal non élastique 10 m...
HX_BSN7296203,"Bande adhésive élastique Tenso Club  2,5 m x 10 cm","Bande adhésive élastique Tenso Club  2,5 m..."
HX_BSN7238221,Pansement adhésif transparent stérile avec compresse Leukomed T plus 8 cm x 15 cm,Pansement adhésif transparent stérile avec...
HX_BSN7238220,Pansement adhésif transparent stérile avec compresse Leukomed T plus 8 cm x 10 cm,Pansement adhésif transparent stérile avec...
HX_BSN7238219,"Pansement adhésif transparent stérile avec compresse Leukomed T plus 5 cm x 7,2 cm",Pansement adhésif transparent stérile avec...
HX_BSN7646102,"Pansement résistant à l’eau Leukoplast universal 7,2 cm x 1,9 cm",Pansement résistant à l’eau Leukoplast...
HX_BSN7209709,Bande cohésive de contention Tensoplus Chair  3 m x 10 cm,Bande cohésive de contention Tensoplus...
HX_BSN7209708,Bande cohésive de contention Tensoplus Chair  3 m x 8 cm,Bande cohésive de contention Tensoplus...
HX_BSN7160200,Spray adhésif protecteur Tensospray Spray 300 ml,Spray adhésif protecteur Tensospray Spray...
HX_BSN4742302,Poche de froid instantané à usage unique Tensocold Pack 24 cm x 14.5 cm,Poche de froid instantané à usage unique...
HX_BSN7616800,"Bande adhésive non élastique Leukotape P 38 mm x 13,7m",Bande adhésive non élastique Leukotape P...
HX_BSN7207517,Poche de gel réutilisable chaud/froid Actimove Physiopack 16 cm x 26 cm,Poche de gel réutilisable chaud/froid...
HX_BSN7207516,Poche de gel réutilisable chaud/froid Actimove Physiopack  12 cm x 29 cm avec housse,Poche de gel réutilisable chaud/froid...
HX_BSN7207514,"Poche de gel réutilisable chaud/froid Actimove Physiopack 7,5 cm x 10 cm avec housse",Poche de gel réutilisable chaud/froid...
HX_BSN7645906,Pansement adhésif tissé résistant Leukoplast strong 1 m x 8 cm,Pansement adhésif tissé résistant...
HX_BSN7645904,Pansement adhésif tissé résistant Leukoplast strong 1 m x 6 cm,Pansement adhésif tissé résistant...
HX_TERMDSS05SE,Seringue 3 pièces 5 ml Embout centré,Seringues 3 pièces - 5 ml - Luer slip
HX_KEL01951031,"Sonde d'aspiration trachéo-bronchique Bicakcilar biseautée 2 oeils CH 10 3,33 mm black",Sonde d'aspiration trachéo-bronchique...
HX_3M1546R,Suture cutanée adhésive Steri-Strip 100 x 6 mm,Suture cutanée adhésive Steri-Strip 100 x...
HX_3M15301S,"Sparadrap 3M™ Micropore™ sans dévidoir 5 m x 2,5 cm",Sparadrap 3M™ Micropore™ sans dévidoir 5 m...
HX_3M3566E,Medipore+Pad stérile avec compresse 10 x 10 cm,Medipore+Pad stérile avec compresse 10 x...
HX_3M3569E,Medipore+Pad stérile avec compresse 10 x 15 cm,Medipore+Pad stérile avec compresse 10 x...
HX_3MCB1584C,"Bandes de contention cohésives élastiques 3M™ Coban™ 10cm x 4,50m couleur chair",Bandes de contention cohésives élastiques...
HX_3M15301,"Sparadrap 3M™ Micropore™ sans dévidoir 9,14 m x 2,5 cm",Sparadrap 3M™ Micropore™ sans dévidoir...
HX_3M1535E1,"Sparadrap 3M™ Micropore™ avec dévidoir 9,14 m x 2,5 cm",Sparadrap 3M™ Micropore™ avec dévidoir...
